"","unique_fish_id","est_standard_length","est_height_anus","region","year","station","sampling_date","CIS_break_up_date","open_water_day","NASC_zoo","surf_sal_kgm3","surf_temp_degC","carbon_mg","fish_WW","feeding_success","prey_range_um","prey_min_um","prey_max_um","prey_median_um","fish_cond","acartia sp c","acartia sp n","amphipod sp","appendicularian sp","bivalve larvae","boroecia maxima","calanoid sp","calanoid sp c","calanoid sp n","calanus finmarchicus c","calanus glacialis c","calanus glacialis n","calanus hyperboreus c","calanus sp c","calanus sp n","chaetognath sp","chiridus sp c","cirripedia sp","cirripedia sp n","coscinodiscus sp","crustacea sp meta","cyclopoid sp c","cyclopoid sp n","decapoda sp","decapoda sp meta","digested matter","egg","egg sack","euphausiacea sp","eurytemora sp c","fecal pellet","fritillaria sp","harpacticoid sp c","heterorhabdus norvegicus c","limacina helicina","metridia longa c","metridia longa n","microcalanus sp  n","microcalanus sp c","microcalanus sp n","oikopleura sp","oithona similis c","oithona similis n","oncea sp c","onceaidae sp c","paraeuchaeta sp c","paraheterorhabdus compactus c","parasite","podon sp","polychaetae larvae","pseudocalanus sp c","pseudocalanus sp n","pseudocalanus sp/acartia sp c","pseudocalanus sp/metridia longa n","radiolarian sp","scolecithricella sp c","spinocalanus sp c","trematoda sp","triconia borealis c","unknown","unknown c","unknown n","unknown nc","vers","vertebrae"
"16","2010-146",11.965,1.322,"Peel Sound",2010,"310","2010-08-09","2010-08-06",3,0.460334394540943,28.3282,0.019,5.86386018125017,9.74774617478112,0.601560614741986,258,236,494,358,-0.157887046994706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0
"17","2010-147",10.363,1.125,"Peel Sound",2010,"310","2010-08-09","2010-08-06",3,0.460334394540943,28.3282,0.019,2.6460692458503,6.16256380169879,0.429377987960283,415,99,514,126,-0.113163233371955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","2010-149",11.752,1.111,"Peel Sound",2010,"310","2010-08-09","2010-08-06",3,0.460334394540943,28.3282,0.019,1.07810013503967,9.20490427680713,0.117122362451512,197,165,362,226.5,-0.336747738441869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0
"19","2010-151",10.042,1.005,"Peel Sound",2010,"310","2010-08-09","2010-08-06",3,0.460334394540943,28.3282,0.019,15.5413294559671,5.57402846042382,2.78816829987721,308,134,442,221,-0.184727937383876,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,5,0,3,0,5,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,10,0,0,0
"20","2010-158",9.829,1.058,"Peel Sound",2010,"310","2010-08-09","2010-08-06",3,0.460334394540943,28.3282,0.019,4.29193118966054,5.20556014120298,0.824489790385688,390,103,493,221,-0.0995886288310382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0
"21","2010-163",10.363,1.164,"Peel Sound",2010,"310","2010-08-09","2010-08-06",3,0.460334394540943,28.3282,0.019,0.806050705072634,6.16256380169879,0.130797948874856,298,103,401,163,-0.0741632333719553,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","2010-164",10.897,1.481,"Peel Sound",2010,"310","2010-08-09","2010-08-06",3,0.460334394540943,28.3282,0.019,1.09585751446658,7.2338893728809,0.151489393599913,337,26,363,113,0.162262162087128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0
"23","2010-168",9.401,0.952,"Peel Sound",2010,"310","2010-08-09","2010-08-06",3,0.460334394540943,28.3282,0.019,1.7589965251194,4.51635339869627,0.389472738255417,183,115,298,165,-0.141008234180266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"24","2010-183",10.79,1.318,"Peel Sound",2010,"310","2010-08-09","2010-08-06",3,0.460334394540943,28.3282,0.019,4.62608633172707,7.00972689861063,0.659952434472731,530,52,582,185,0.015407260749821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5,0,0,0
"25","2010-185",11.645,1.164,"Peel Sound",2010,"310","2010-08-09","2010-08-06",3,0.460334394540943,28.3282,0.019,2.7921417662801,8.9402090021636,0.312312806736888,272,103,375,116,-0.267602639779175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0
"26","2010-188",12.713,1.322,"Peel Sound",2010,"310","2010-08-09","2010-08-06",3,0.460334394540943,28.3282,0.019,7.06856536342136,11.8280719969602,0.597609260853163,565,82,647,113,-0.270751848861009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,4,0,0,0
"27","2010-192",11.431,1.375,"Peel Sound",2010,"310","2010-08-09","2010-08-06",3,0.460334394540943,28.3282,0.019,1.40709618814599,8.42658035348749,0.166983061825742,318,62,380,203,-0.0243124424537891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"28","2010-196",11.859,1.181,"Larsen Sound - Victoria Strait",2010,"312","2010-08-10","2010-08-13",-3,0.400446066666667,24.594,2.929,4.59640227991912,9.47493042943885,0.485111981998092,2594,375,2969,1051,-0.282892837104562,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
"29","2010-198",10.576,1.058,"Larsen Sound - Victoria Strait",2010,"312","2010-08-10","2010-08-13",-3,0.400446066666667,24.594,2.929,0.586010202504915,6.57579233946124,0.0891162877799951,2185,65,2250,379,-0.212302541924793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","2010-202",11.859,1.428,"Larsen Sound - Victoria Strait",2010,"312","2010-08-10","2010-08-13",-3,0.400446066666667,24.594,2.929,2.38497648045175,9.47493042943885,0.251714405526563,238,88,326,220.5,-0.0358928371045618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"31","2010-204",8.76,0.954,"Larsen Sound - Victoria Strait",2010,"312","2010-08-10","2010-08-13",-3,0.400446066666667,24.594,2.929,2.13821948599045,3.6053778657483,0.593063907753997,3844,219,4063,636.5,-0.0422885309766556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0
"32","2010-216",12.5,1.655,"Larsen Sound - Victoria Strait",2010,"312","2010-08-10","2010-08-13",-3,0.400446066666667,24.594,2.929,3.84969016050967,11.2074195739606,0.343494783531979,753,62,815,310,0.0943874596918282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0
"33","2010-217",12.82,1.788,"Larsen Sound - Victoria Strait",2010,"312","2010-08-10","2010-08-13",-3,0.400446066666667,24.594,2.929,7.74172953071109,12.1485792142312,0.637253903867391,1740,83,1823,364.5,0.179103052476297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"34","2010-223",10.47,1.164,"Larsen Sound - Victoria Strait",2010,"312","2010-08-10","2010-08-13",-3,0.400446066666667,24.594,2.929,1.79535272024628,6.36784676496842,0.281940314601019,1034,104,1138,388,-0.0903083320346486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0
"35","2010-232",11.645,1.322,"Larsen Sound - Victoria Strait",2010,"312","2010-08-10","2010-08-13",-3,0.400446066666667,24.594,2.929,1.52529496908418,8.9402090021636,0.170610661195398,1246,176,1422,1009,-0.109602639779175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","2010-236",11.004,1.192,"Larsen Sound - Victoria Strait",2010,"312","2010-08-10","2010-08-13",-3,0.400446066666667,24.594,2.929,2.19377891948921,7.46292445099301,0.293957004910763,1218,62,1280,274,-0.142882936575565,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0
"37","2010-237",11.324,1.058,"Larsen Sound - Victoria Strait",2010,"312","2010-08-10","2010-08-13",-3,0.400446066666667,24.594,2.929,1.69694755161444,8.17753186519068,0.207513413532247,1286,181,1467,440,-0.325167343791096,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
"38","2010-243",11.538,1.322,"Larsen Sound - Victoria Strait",2010,"312","2010-08-10","2010-08-13",-3,0.400446066666667,24.594,2.929,0.51590454609177,8.68078689700415,0.0594306198519647,1247,155,1402,410,-0.0934575411164824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","2010-244",11.324,1.324,"Larsen Sound - Victoria Strait",2010,"312","2010-08-10","2010-08-13",-3,0.400446066666667,24.594,2.929,2.27271165024083,8.17753186519068,0.277921466734368,2042,146,2188,724,-0.0591673437910961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"40","2010-279",29,3.67637887263882,"Mackenzie Shelf",2010,"14","2010-08-16","2010-06-11",66,34.7037923445826,26.1344,9.208,19.0269374963968,164.214802677493,0.115866153270996,336,155,491,239.5,-0.373898414720159,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,1,0
"41","2010-28",20.085,2.564,"Lancaster Sound",2010,"301","2010-08-07","2010-07-16",22,3.50126732940252,28.5462537878788,0.59842803030303,128.058121313026,50.877275493388,2.51700037140685,773,51,824,330,-0.141103880088801,1,1,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,0,0,0
"42","2010-286",23,2.8859274243103,"Mackenzie Shelf",2010,"15","2010-08-16","2010-06-11",66,34.7037923445826,28.0503333333333,8.05922222222222,54.2013435764879,78.3924948955801,0.691409855607796,780,53,833,221,-0.259017227757477,0,0,0,0,5,1,0,0,0,0,2,0,0,1,21,0,0,0,0,1,0,0,0,0,0,4,15,0,0,0,0,0,0,0,0,0,1,0,1,2,0,13,0,1,0,0,0,0,0,0,10,9,0,0,0,0,0,0,10,0,5,6,0,0,0
"43","2010-287",23,3.53682176664861,"Mackenzie Shelf",2010,"15","2010-08-16","2010-06-11",66,34.7037923445826,28.0503333333333,8.05922222222222,49.1434145845354,78.3924948955801,0.626889278750409,986,106,1092,106,0.391877114580834,0,0,0,0,28,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,6,0,0,0,1,12,0,0,0,0,0,0,0,9,0,1,0,0,0,0,12,0,11,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,10,1,0,0,0
"44","2010-289",17,1.87330106324538,"Mackenzie Shelf",2010,"15","2010-08-16","2010-06-11",66,34.7037923445826,28.0503333333333,8.05922222222222,27.6337913370877,29.8878550758399,0.924582619494355,1014,127,1141,179,-0.366310953531194,0,0,0,0,2,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,1,1,4,0,0,0,0,1,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,2,4,0,0,0
"45","2010-303",21,2.71957535396998,"Mackenzie Shelf",2010,"10","2010-08-16","2010-06-11",66,34.7037923445826,27.1691666666667,8.669,18.0244174564622,58.6465190396287,0.307339936821871,776,168,944,336,-0.123591753000729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0
"46","2010-305",26,2.87141348528732,"Mackenzie Shelf",2010,"10","2010-08-16","2010-06-11",66,34.7037923445826,27.1691666666667,8.669,3.34474699796181,115.911805193533,0.0288559650363241,725,116,841,323,-0.726197484426058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"47","2010-308",38,5.41246927115695,"Mackenzie Shelf",2010,"10","2010-08-16","2010-06-11",66,34.7037923445826,27.1691666666667,8.669,416.931792688084,388.930823083688,1.07199473002008,708,116,824,259,0.00419303086116718,0,0,0,0,1,0,0,1,0,2,11,0,2,5,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10,2,0,0,0
"48","2010-321",31,4.70016980218295,"Mackenzie Shelf",2010,"10","2010-08-16","2010-06-11",66,34.7037923445826,27.1691666666667,8.669,142.788735792359,203.145166196972,0.702890147304363,466,181,647,290.5,0.348114969726903,0,0,0,0,8,0,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,6,0,1,0
"49","2010-337",33,5.0328739428636,"Mackenzie Shelf",2010,"12","2010-08-16","2010-06-11",66,34.7037923445826,27.94775,8.08425,118.531650480488,247.983141657144,0.477982695470353,1172,110,1282,110,0.379041565310486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0
"50","2010-366",13,2.1165463097292,"Mackenzie Shelf",2010,"5","2010-08-19","2010-06-11",69,34.7037923445826,25.854,9.7882,8.62780697044128,12.7011189500901,0.679295029386372,388,168,556,310,0.480489383146761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"51","2010-398",42,6.36369050558618,"Mackenzie Shelf",2010,"1","2010-08-21","2010-06-11",71,34.7037923445826,25.9232,10.1243,1503.09505374842,535.214567859161,2.80839712521418,699,116,815,220,0.351859175096262,0,0,0,0,12,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"52","2010-42",10.47,1.269,"Lancaster Sound",2010,"301","2010-08-07","2010-07-16",22,3.50126732940252,28.5462537878788,0.59842803030303,8.06792292467703,6.36784676496842,1.26697818312169,3764,129,3893,323,0.0146916679653514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0
